model_idx,observed_node_ids,batch_size,T,ymin,ymax,"simu_time_jz (b=50, T=2500)",valid_trajectories_ratio,stable_trajectories_ratio,periodic_trajectories_ratio,reached_space_extent,n_covered_bins
6,"(0, 3)",50,2500,"[0.03316820412874222, 0.0, 0.0, 0.0]","[20.0, 6.026098728179932, 5.765517234802246, 6.732695579528809]",2.2442057132720947,0.7,0.0,1.0,[23.605742   0.0288714],35
6,"(1, 2)",50,2500,"[0.03316820412874222, 0.0, 0.0, 0.0]","[20.0, 6.026098728179932, 5.765517234802246, 6.732695579528809]",2.2442057132720947,0.7,0.0,1.0,[0.03007852 0.00076857],20
6,"(1, 3)",50,2500,"[0.03316820412874222, 0.0, 0.0, 0.0]","[20.0, 6.026098728179932, 5.765517234802246, 6.732695579528809]",2.2442057132720947,0.7,0.0,1.0,[0.03007852 0.0288714 ],17
6,"(2, 3)",50,2500,"[0.03316820412874222, 0.0, 0.0, 0.0]","[20.0, 6.026098728179932, 5.765517234802246, 6.732695579528809]",2.2442057132720947,0.7,0.0,1.0,[0.00076857 0.0288714 ],21
8,"(0, 1)",50,2500,"[0.0, 0.0, 0.0, 0.05000000074505806, 0.017943907529115677]","[9.203520774841309, 16.977794647216797, 13.743247032165527, 80.04329681396484, 20.0]",63.74800515174866,0.94,1.0,0.0,[0.00151938 1.1025581 ],2
8,"(0, 2)",50,2500,"[0.0, 0.0, 0.0, 0.05000000074505806, 0.017943907529115677]","[9.203520774841309, 16.977794647216797, 13.743247032165527, 80.04329681396484, 20.0]",63.74800515174866,0.94,1.0,0.0,[0.00151938 0.27713597],2
8,"(0, 3)",50,2500,"[0.0, 0.0, 0.0, 0.05000000074505806, 0.017943907529115677]","[9.203520774841309, 16.977794647216797, 13.743247032165527, 80.04329681396484, 20.0]",63.74800515174866,0.94,1.0,0.0,[0.00151938 0.0006721 ],5
8,"(0, 4)",50,2500,"[0.0, 0.0, 0.0, 0.05000000074505806, 0.017943907529115677]","[9.203520774841309, 16.977794647216797, 13.743247032165527, 80.04329681396484, 20.0]",63.74800515174866,0.94,1.0,0.0,[0.00151938 0.00532944],2
8,"(1, 2)",50,2500,"[0.0, 0.0, 0.0, 0.05000000074505806, 0.017943907529115677]","[9.203520774841309, 16.977794647216797, 13.743247032165527, 80.04329681396484, 20.0]",63.74800515174866,0.94,1.0,0.0,[1.1025581  0.27713597],2
8,"(1, 3)",50,2500,"[0.0, 0.0, 0.0, 0.05000000074505806, 0.017943907529115677]","[9.203520774841309, 16.977794647216797, 13.743247032165527, 80.04329681396484, 20.0]",63.74800515174866,0.94,1.0,0.0,[1.1025581e+00 6.7210197e-04],5
8,"(1, 4)",50,2500,"[0.0, 0.0, 0.0, 0.05000000074505806, 0.017943907529115677]","[9.203520774841309, 16.977794647216797, 13.743247032165527, 80.04329681396484, 20.0]",63.74800515174866,0.94,1.0,0.0,[1.1025581  0.00532944],2
8,"(2, 3)",50,2500,"[0.0, 0.0, 0.0, 0.05000000074505806, 0.017943907529115677]","[9.203520774841309, 16.977794647216797, 13.743247032165527, 80.04329681396484, 20.0]",63.74800515174866,0.94,1.0,0.0,[0.27713597 0.0006721 ],5
8,"(2, 4)",50,2500,"[0.0, 0.0, 0.0, 0.05000000074505806, 0.017943907529115677]","[9.203520774841309, 16.977794647216797, 13.743247032165527, 80.04329681396484, 20.0]",63.74800515174866,0.94,1.0,0.0,[0.27713597 0.00532944],2
8,"(3, 4)",50,2500,"[0.0, 0.0, 0.0, 0.05000000074505806, 0.017943907529115677]","[9.203520774841309, 16.977794647216797, 13.743247032165527, 80.04329681396484, 20.0]",63.74800515174866,0.94,1.0,0.0,[0.0006721  0.00532944],5
10,"(0, 1)",50,2500,"[0.593141496181488, 0.15405263006687164, 0.4442727565765381, 0.15108147263526917, 0.022835688665509224, 0.0040619815699756145, 0.05785706266760826, 0.3561883866786957]","[1938.346435546875, 1762.7177734375, 5930.400390625, 1714.2958984375, 5318.427734375, 5601.37109375, 1528.5418701171875, 5975.181640625]",4.202636480331421,1.0,0.24,0.0,[1999.3284 1154.1365],43
10,"(0, 2)",50,2500,"[0.593141496181488, 0.15405263006687164, 0.4442727565765381, 0.15108147263526917, 0.022835688665509224, 0.0040619815699756145, 0.05785706266760826, 0.3561883866786957]","[1938.346435546875, 1762.7177734375, 5930.400390625, 1714.2958984375, 5318.427734375, 5601.37109375, 1528.5418701171875, 5975.181640625]",4.202636480331421,1.0,0.51,0.0,[1999.3284 7624.6514],29
10,"(0, 3)",50,2500,"[0.593141496181488, 0.15405263006687164, 0.4442727565765381, 0.15108147263526917, 0.022835688665509224, 0.0040619815699756145, 0.05785706266760826, 0.3561883866786957]","[1938.346435546875, 1762.7177734375, 5930.400390625, 1714.2958984375, 5318.427734375, 5601.37109375, 1528.5418701171875, 5975.181640625]",4.202636480331421,1.0,0.55,0.0,[1999.3284 1090.3645],30
10,"(0, 4)",50,2500,"[0.593141496181488, 0.15405263006687164, 0.4442727565765381, 0.15108147263526917, 0.022835688665509224, 0.0040619815699756145, 0.05785706266760826, 0.3561883866786957]","[1938.346435546875, 1762.7177734375, 5930.400390625, 1714.2958984375, 5318.427734375, 5601.37109375, 1528.5418701171875, 5975.181640625]",4.202636480331421,1.0,0.53,0.0,[ 1999.3284 11128.395 ],45
10,"(0, 5)",50,2500,"[0.593141496181488, 0.15405263006687164, 0.4442727565765381, 0.15108147263526917, 0.022835688665509224, 0.0040619815699756145, 0.05785706266760826, 0.3561883866786957]","[1938.346435546875, 1762.7177734375, 5930.400390625, 1714.2958984375, 5318.427734375, 5601.37109375, 1528.5418701171875, 5975.181640625]",4.202636480331421,1.0,0.61,0.0,[1999.3284  713.3813],22
10,"(0, 6)",50,2500,"[0.593141496181488, 0.15405263006687164, 0.4442727565765381, 0.15108147263526917, 0.022835688665509224, 0.0040619815699756145, 0.05785706266760826, 0.3561883866786957]","[1938.346435546875, 1762.7177734375, 5930.400390625, 1714.2958984375, 5318.427734375, 5601.37109375, 1528.5418701171875, 5975.181640625]",4.202636480331421,1.0,0.62,0.0,[1999.3284   145.45444],22
10,"(0, 7)",50,2500,"[0.593141496181488, 0.15405263006687164, 0.4442727565765381, 0.15108147263526917, 0.022835688665509224, 0.0040619815699756145, 0.05785706266760826, 0.3561883866786957]","[1938.346435546875, 1762.7177734375, 5930.400390625, 1714.2958984375, 5318.427734375, 5601.37109375, 1528.5418701171875, 5975.181640625]",4.202636480331421,1.0,0.61,0.0,[ 1999.3284 10604.652 ],47
10,"(1, 2)",50,2500,"[0.593141496181488, 0.15405263006687164, 0.4442727565765381, 0.15108147263526917, 0.022835688665509224, 0.0040619815699756145, 0.05785706266760826, 0.3561883866786957]","[1938.346435546875, 1762.7177734375, 5930.400390625, 1714.2958984375, 5318.427734375, 5601.37109375, 1528.5418701171875, 5975.181640625]",4.202636480331421,1.0,0.51,0.0,[1154.1365 7624.6514],25
10,"(1, 3)",50,2500,"[0.593141496181488, 0.15405263006687164, 0.4442727565765381, 0.15108147263526917, 0.022835688665509224, 0.0040619815699756145, 0.05785706266760826, 0.3561883866786957]","[1938.346435546875, 1762.7177734375, 5930.400390625, 1714.2958984375, 5318.427734375, 5601.37109375, 1528.5418701171875, 5975.181640625]",4.202636480331421,1.0,0.55,0.0,[1154.1365 1090.3645],24
10,"(1, 4)",50,2500,"[0.593141496181488, 0.15405263006687164, 0.4442727565765381, 0.15108147263526917, 0.022835688665509224, 0.0040619815699756145, 0.05785706266760826, 0.3561883866786957]","[1938.346435546875, 1762.7177734375, 5930.400390625, 1714.2958984375, 5318.427734375, 5601.37109375, 1528.5418701171875, 5975.181640625]",4.202636480331421,1.0,0.53,0.0,[ 1154.1365 11128.395 ],42
10,"(1, 5)",50,2500,"[0.593141496181488, 0.15405263006687164, 0.4442727565765381, 0.15108147263526917, 0.022835688665509224, 0.0040619815699756145, 0.05785706266760826, 0.3561883866786957]","[1938.346435546875, 1762.7177734375, 5930.400390625, 1714.2958984375, 5318.427734375, 5601.37109375, 1528.5418701171875, 5975.181640625]",4.202636480331421,1.0,0.61,0.0,[1154.1365  713.3813],19
10,"(1, 6)",50,2500,"[0.593141496181488, 0.15405263006687164, 0.4442727565765381, 0.15108147263526917, 0.022835688665509224, 0.0040619815699756145, 0.05785706266760826, 0.3561883866786957]","[1938.346435546875, 1762.7177734375, 5930.400390625, 1714.2958984375, 5318.427734375, 5601.37109375, 1528.5418701171875, 5975.181640625]",4.202636480331421,1.0,0.62,0.0,[1154.1365   145.45444],19
10,"(1, 7)",50,2500,"[0.593141496181488, 0.15405263006687164, 0.4442727565765381, 0.15108147263526917, 0.022835688665509224, 0.0040619815699756145, 0.05785706266760826, 0.3561883866786957]","[1938.346435546875, 1762.7177734375, 5930.400390625, 1714.2958984375, 5318.427734375, 5601.37109375, 1528.5418701171875, 5975.181640625]",4.202636480331421,1.0,0.61,0.0,[ 1154.1365 10604.652 ],47
10,"(2, 3)",50,2500,"[0.593141496181488, 0.15405263006687164, 0.4442727565765381, 0.15108147263526917, 0.022835688665509224, 0.0040619815699756145, 0.05785706266760826, 0.3561883866786957]","[1938.346435546875, 1762.7177734375, 5930.400390625, 1714.2958984375, 5318.427734375, 5601.37109375, 1528.5418701171875, 5975.181640625]",4.202636480331421,1.0,0.82,0.0,[7624.6514 1090.3645],12
10,"(2, 4)",50,2500,"[0.593141496181488, 0.15405263006687164, 0.4442727565765381, 0.15108147263526917, 0.022835688665509224, 0.0040619815699756145, 0.05785706266760826, 0.3561883866786957]","[1938.346435546875, 1762.7177734375, 5930.400390625, 1714.2958984375, 5318.427734375, 5601.37109375, 1528.5418701171875, 5975.181640625]",4.202636480331421,1.0,0.8,0.0,[ 7624.6514 11128.395 ],28
10,"(2, 5)",50,2500,"[0.593141496181488, 0.15405263006687164, 0.4442727565765381, 0.15108147263526917, 0.022835688665509224, 0.0040619815699756145, 0.05785706266760826, 0.3561883866786957]","[1938.346435546875, 1762.7177734375, 5930.400390625, 1714.2958984375, 5318.427734375, 5601.37109375, 1528.5418701171875, 5975.181640625]",4.202636480331421,1.0,0.88,0.0,[7624.6514  713.3813],9
